load_zone,period,AES,Airport_DSG,Battery_Bulk,CC_152,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,0.0,0.0,0.0,0.0,190.7,31.941,266.9559999999997,73.0,12.2,0.0,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,99.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2023,0.0,0.0,439.1,0.0,0.0,463.29999999999995,57.736999999999995,338.46899999999965,73.0,12.2,0.0,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,54.5,0.0,0.0,86.1,0.0,0.0,0.0,0
Oahu,2025,0.0,0.0,611.1,0.0,0.0,790.3,66.011,385.8779999999996,73.0,12.2,0.0,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0.0,0
Oahu,2030,0.0,0.0,611.1,0.0,113.0,1601.4525382432732,99.398,527.6079999999997,73.0,12.2,0.0,0.0,0.0,0.0,86.1,0.0,134.3,134.4,90.0,90.0,28.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2035,0.0,0.0,624.8296497139821,0.0,113.0,1667.1038520877914,144.287,689.7809999999997,73.0,12.2,0.0,48.84,0.0,0.0,86.1,0.0,134.3,134.4,90.0,90.0,28.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2040,0.0,0.0,673.4912532701783,0.0,113.0,1830.9259560381608,193.00900000000001,689.7809999999997,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,323.0,460.714,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2045,0.0,8.0,1041.7556774894492,0.0,113.0,2960.874407575813,244.132,823.0262506804454,73.0,0.0,33.572784,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,323.0,497.7647493195542,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0,0
Oahu,2050,0.0,8.0,1056.9357547555005,150.586,113.0,3337.5929360110617,244.132,897.96981142432,0.0,0.0,100.718352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,323.0,422.8211885756796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
