balancing_area,reserve_type,direction,timepoint,target,day_repeat
system_wide_balancing_area,regulation,up,2020-06-17 02:00,11.292533999999998,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 04:00,15.449151,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 06:00,49.99952711843939,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 08:00,157.28519841296944,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 10:00,163.9957844517599,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 12:00,163.3777629597599,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 14:00,166.2492961297599,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 16:00,148.79023142308202,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 18:00,65.44779214994499,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 20:00,1.6903634418,28.617606602475934
system_wide_balancing_area,regulation,up,2020-06-17 22:00,3.6604155,28.617606602475934
system_wide_balancing_area,regulation,up,2020-08-18 00:00,21.408162930000003,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 02:00,21.408162930000003,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 04:00,11.4371706,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 06:00,38.15486758859933,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 08:00,165.37348356143838,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 10:00,177.4628865897599,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 12:00,176.4136035897599,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 14:00,175.6298154897599,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 16:00,173.85181441475046,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 18:00,67.26401591764883,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 20:00,15.8323371,34.64236588720767
system_wide_balancing_area,regulation,up,2020-08-18 22:00,17.5307031,34.64236588720767
system_wide_balancing_area,regulation,up,2020-09-10 00:00,10.323212999999999,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 02:00,8.5597488,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 04:00,5.5926876,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 06:00,11.622318023710577,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 08:00,158.6424242025177,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 10:00,166.6730184897599,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 12:00,169.75670948975988,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 14:00,170.0811054897599,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 16:00,160.48390333741935,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 18:00,25.851386463146227,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 20:00,18.98866083,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-10 22:00,8.5767915,39.66299862448434
system_wide_balancing_area,regulation,up,2020-09-22 00:00,21.408162930000003,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 02:00,21.408162930000003,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 04:00,21.408162930000003,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 06:00,24.27607086917134,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 08:00,173.11194558013295,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 10:00,181.7213644197599,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 12:00,181.31232758975992,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 14:00,179.88651158975992,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 16:00,173.1069154988151,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 18:00,19.0730601,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 20:00,14.578745099999999,43.17744154057767
system_wide_balancing_area,regulation,up,2020-09-22 22:00,14.8872441,43.17744154057767
system_wide_balancing_area,regulation,up,2020-10-27 00:00,21.408162930000003,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 02:00,21.408162930000003,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 04:00,6.4681451999999995,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 06:00,21.408162930000003,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 08:00,169.14582039235438,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 10:00,181.7213644197599,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 12:00,181.7213644197599,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 14:00,181.7213644197599,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 16:00,136.23707280753973,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 18:00,21.408162930000003,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 20:00,21.408162930000003,35.646492434662996
system_wide_balancing_area,regulation,up,2020-10-27 22:00,21.408162930000003,35.646492434662996
system_wide_balancing_area,regulation,up,2020-11-22 00:00,11.134920000000001,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 02:00,1.575282348,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 04:00,0.0,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 06:00,0.771886752,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 08:00,112.58906705320678,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 10:00,136.1378996207599,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 12:00,147.0377913177599,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 14:00,155.42671849375992,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 16:00,120.6680604089833,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 18:00,9.743376900000001,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 20:00,19.13044083,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-11-22 22:00,1.587964893,7.0288858321870675
system_wide_balancing_area,regulation,up,2020-12-15 00:00,21.408162930000003,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 02:00,21.408162930000003,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 04:00,21.408162930000003,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 06:00,21.408162930000003,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 08:00,142.27343661349482,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 10:00,181.7213644197599,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 12:00,181.7213644197599,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 14:00,181.7213644197599,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 16:00,133.56053956917208,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 18:00,21.408162930000003,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 20:00,21.408162930000003,18.576341127922966
system_wide_balancing_area,regulation,up,2020-12-15 22:00,21.408162930000003,18.576341127922966
