ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2007011200,58.74196218983678
Oahu,2007011202,112.46077978638971
Oahu,2007011204,50.99690844955897
Oahu,2007011206,-90.9310174135791
Oahu,2007011208,-51.485678245857585
Oahu,2007011210,59.13305394097134
Oahu,2007011212,59.13305394097133
Oahu,2007011214,98.71698384966743
Oahu,2007011216,-19.679125844732447
Oahu,2007011218,-104.856111142073
Oahu,2007011220,-95.2594083335193
Oahu,2007011222,-76.97140117763415
Oahu,2007011900,129.1618975976126
Oahu,2007011902,143.07738463025555
Oahu,2007011904,5.549052676511055
Oahu,2007011906,-88.44863859067311
Oahu,2007011908,-92.49561495625758
Oahu,2007011910,35.78590445541643
Oahu,2007011912,86.04830653113811
Oahu,2007011914,121.26632644094161
Oahu,2007011916,-79.62101131174425
Oahu,2007011918,-103.173762326549
Oahu,2007011920,-94.05524888240801
Oahu,2007011922,-63.09459626424343
Oahu,2007021200,33.56074735386274
Oahu,2007021202,33.56074735386274
Oahu,2007021204,33.56074735386274
Oahu,2007021206,-84.70632679614101
Oahu,2007021208,-32.27104810542341
Oahu,2007021210,113.05650985878889
Oahu,2007021212,113.05650985878889
Oahu,2007021214,103.61807909436071
Oahu,2007021216,-37.947498346353115
Oahu,2007021218,-104.77382234131301
Oahu,2007021220,-94.72270248856691
Oahu,2007021222,-75.9919427957292
Oahu,2007050200,77.32339321629826
Oahu,2007050202,64.59914527608099
Oahu,2007050204,-2.8883395674449606
Oahu,2007050206,-89.06031867631741
Oahu,2007050208,5.179151130176695
Oahu,2007050210,127.89467894370631
Oahu,2007050212,71.23452309058246
Oahu,2007050214,71.23452309058246
Oahu,2007050216,-82.2988255446618
Oahu,2007050218,-104.084425054952
Oahu,2007050220,-98.54821740386672
Oahu,2007050222,-40.585288500184326
Oahu,2007092200,26.913398217316146
Oahu,2007092202,59.68224605051131
Oahu,2007092204,59.68224605051131
Oahu,2007092206,-80.4364523567407
Oahu,2007092208,-0.8913319913840603
Oahu,2007092210,35.028721094558676
Oahu,2007092212,125.42245830117335
Oahu,2007092214,107.37173031608397
Oahu,2007092216,-46.83295603997871
Oahu,2007092218,-104.34409193734801
Oahu,2007092220,-96.3547637036267
Oahu,2007092222,-85.2412040010766
Oahu,2007102700,72.67498433675371
Oahu,2007102702,94.7703988358753
Oahu,2007102704,49.865436664323006
Oahu,2007102706,-35.72503783213198
Oahu,2007102708,72.80575858074185
Oahu,2007102710,16.732263522819522
Oahu,2007102712,65.1349710669201
Oahu,2007102714,18.616698875577846
Oahu,2007102716,-98.4869579633015
Oahu,2007102718,-102.78517632296301
Oahu,2007102720,-95.16797633267561
Oahu,2007102722,-58.43536343193924
Oahu,2007121500,68.99989546781629
Oahu,2007121502,54.33156338378097
Oahu,2007121504,23.350765978259012
Oahu,2007121506,-76.031258556092
Oahu,2007121508,-85.24268012200949
Oahu,2007121510,69.06462545837665
Oahu,2007121512,145.490760455112
Oahu,2007121514,50.97958778037714
Oahu,2007121516,-22.436913780393372
Oahu,2007121518,-99.50185317266639
Oahu,2007121520,-92.24580958571141
Oahu,2007121522,-36.75868330684942
Oahu,2008022000,80.48775179779165
Oahu,2008022002,88.83710594406928
Oahu,2008022004,64.97667121960085
Oahu,2008022006,-87.59259118627054
Oahu,2008022008,-82.35949324865132
Oahu,2008022010,96.40543446638948
Oahu,2008022012,130.46115628209878
Oahu,2008022014,17.351348737543177
Oahu,2008022016,-54.45618378137019
Oahu,2008022018,-107.10868616305
Oahu,2008022020,-96.7181339058028
Oahu,2008022022,-50.284380162348334
Oahu,2008041000,129.73539407719855
Oahu,2008041002,132.24200177424763
Oahu,2008041004,64.837984859677
Oahu,2008041006,-88.3594044622549
Oahu,2008041008,-96.53502819020412
Oahu,2008041010,15.5406879025109
Oahu,2008041012,90.2565449619365
Oahu,2008041014,-2.5419588076143063
Oahu,2008041016,-11.434326722277149
Oahu,2008041018,-106.63837402044601
