GENERATION_PROJECT,build_year,gen_predetermined_cap
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8,2018,2.9919314766068
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8,2019,2.78216506311777
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2012,17.1184324839297
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2013,18.2687563040792
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2014,19.1122844060486
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2015,9.03734359816842
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2016,12.5024058849219
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2017,8.50573515121734
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2018,5.20720081170158
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2019,4.84212031198819
Oahu_Tesoro_Hawaii,1990,20.0
Oahu_Waiau_10,1973,49.9
Oahu_Waiau_3,1947,46.6
Oahu_Waiau_4,1950,46.6
Oahu_Waiau_5,1959,54.5
Oahu_Waiau_6,1961,53.5
Oahu_Waiau_7,1966,82.9
Oahu_Waiau_8,1968,86.1
Oahu_Waiau_9,1973,52.9
