load_zone,period,AES,Airport_DSG,Battery_Bulk,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,0.0,0.0,0.0,190.7,31.941,266.9559999999997,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,99.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2023,0.0,0.0,439.1,0.0,463.30000000000007,57.736999999999995,338.46899999999965,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0.0,0
Oahu,2025,0.0,0.0,611.1,0.0,790.3,66.011,385.8779999999996,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2030,0.0,0.0,623.7097896302736,0.0,1694.494753481636,99.398,527.6079999999997,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2035,0.0,0.0,781.6463732849666,0.0,1973.7082388386814,144.287,689.7809999999997,73.0,12.2,0.0,0.0,82.1,86.1,0.0,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2040,0.0,0.0,816.8367630702827,113.0,2215.78527199849,193.00900000000001,689.7809999999997,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,123.0,460.714,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2045,0.0,8.0,827.3677498830235,113.0,2945.5831493703176,244.132,770.659457938446,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,200.0,123.0,550.1315420615535,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2050,0.0,8.0,669.4311662283305,113.0,2945.5831493703176,244.132,749.7938812219896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,1700.3984625411756,123.0,570.99711877801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
