load_zone,period,Battery,Biodiesel,Biodiesel/Coal/Diesel/LNG/LSFO,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,batteries,fuel cells
Oahu,2020,31.941,0.0,180.0,0.0,1013.5,73.0,753.0359999999996,99.0,0.0,0.0,0
Oahu,2023,496.837,0.0,0.0,0.0,930.6,73.0,1097.1489999999997,123.0,0.0,0.0,0
Oahu,2025,677.111,0.0,0.0,0.0,844.5,73.0,1471.5579999999993,123.0,0.0,0.0,0
Oahu,2030,723.1077896302736,0.0,0.0,0.0,762.4,73.0,2517.482753481635,123.0,0.0,0.0,0
Oahu,2035,925.9333732849666,0.0,0.0,0.0,677.1,73.0,2958.8692388386803,123.0,0.0,0.0,0
Oahu,2040,1009.8457630702827,0.0,0.0,161.84,508.9,73.0,3366.280271998489,123.0,0.0,0.0,0
Oahu,2045,1071.4997498830235,8.0,0.0,264.64,208.0,73.0,4266.374149370317,323.0,150.0,0.0,0
Oahu,2050,913.5631662283306,8.0,0.0,113.0,208.0,0.0,4266.374149370317,1823.3984625411756,150.0,0.0,0
