ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2007011200,58.74196218983678
Oahu,2007011202,118.3191762084384
Oahu,2007011204,50.99690844955897
Oahu,2007011206,-90.93101741357887
Oahu,2007011208,-62.93365678394055
Oahu,2007011210,59.14570394097134
Oahu,2007011212,59.14570394097134
Oahu,2007011214,92.83031742761808
Oahu,2007011216,-8.228177306649066
Oahu,2007011218,-104.856111142073
Oahu,2007011220,-95.2594083335193
Oahu,2007011222,-76.97140117763415
Oahu,2007011900,129.16189759761266
Oahu,2007011902,138.1711206938368
Oahu,2007011904,95.54905267651091
Oahu,2007011906,-88.44863859067311
Oahu,2007011908,-92.55469495625758
Oahu,2007011910,35.75143445541637
Oahu,2007011912,68.37911778236179
Oahu,2007011914,55.77926912613679
Oahu,2007011916,-81.46495131174423
Oahu,2007011918,-103.173762326549
Oahu,2007011920,-94.05524888240801
Oahu,2007011922,-63.094596264243364
Oahu,2007021200,47.54871004934233
Oahu,2007021202,47.54871004934233
Oahu,2007021204,-50.29198164106531
Oahu,2007021206,-84.70632679614101
Oahu,2007021208,-42.833032972591646
Oahu,2007021210,132.02005909435846
Oahu,2007021212,132.02005909435846
Oahu,2007021214,132.02005909435846
Oahu,2007021216,-37.837788346352994
Oahu,2007021218,-104.77382234131301
Oahu,2007021220,-94.72270248856691
Oahu,2007021222,-75.9919427957292
Oahu,2007050200,77.32339321629826
Oahu,2007050202,62.974662407319094
Oahu,2007050204,-4.512822436206841
Oahu,2007050206,-89.06031867631741
Oahu,2007050208,5.2200711301767235
Oahu,2007050210,127.9142789437058
Oahu,2007050212,72.81900095934459
Oahu,2007050214,72.81900095934459
Oahu,2007050216,-82.27933554466178
Oahu,2007050218,-104.084425054952
Oahu,2007050220,-98.54821740386672
Oahu,2007050222,-40.585288500184326
Oahu,2007092200,26.913398217316146
Oahu,2007092202,60.56522105051202
Oahu,2007092204,60.56522105051202
Oahu,2007092206,-80.43645235674053
Oahu,2007092208,-0.8829619913840467
Oahu,2007092210,35.02912109455863
Oahu,2007092212,123.60766830117178
Oahu,2007092214,107.38195031608397
Oahu,2007092216,-46.8031060399787
Oahu,2007092218,-104.34409193734801
Oahu,2007092220,-96.3547637036267
Oahu,2007092222,-85.2412040010766
Oahu,2007102700,44.674984336753596
Oahu,2007102702,95.68530854557214
Oahu,2007102704,49.865436664323006
Oahu,2007102706,-35.72503783213198
Oahu,2007102708,100.03812587599377
Oahu,2007102710,16.745823522819506
Oahu,2007102712,37.63634386843505
Oahu,2007102714,14.48197897234569
Oahu,2007102716,-73.91542786653368
Oahu,2007102718,-102.78517632296301
Oahu,2007102720,-95.16797633267561
Oahu,2007102722,-51.53438343193844
Oahu,2007121500,76.46920442014765
Oahu,2007121502,133.076743358125
Oahu,2007121504,23.350765978258767
Oahu,2007121506,-76.031258556092
Oahu,2007121508,-85.22623012200947
Oahu,2007121510,70.2332354583766
Oahu,2007121512,128.03235608233138
Oahu,2007121514,52.25813480481881
Oahu,2007121516,-93.65660535872951
Oahu,2007121518,-99.50185317266642
Oahu,2007121520,-92.24580958571141
Oahu,2007121522,-36.75868330684942
Oahu,2008022000,80.48775179779165
Oahu,2008022002,90.73139606843043
Oahu,2008022004,64.97667121960107
Oahu,2008022006,-87.59259118627061
Oahu,2008022008,7.735406751348718
Oahu,2008022010,96.41205446638942
Oahu,2008022012,96.41205446638943
Oahu,2008022014,7.894973295592022
Oahu,2008022016,-102.946516648071
Oahu,2008022018,-107.10868616305
Oahu,2008022020,-96.7181339058028
Oahu,2008022022,-50.284380162348334
Oahu,2008041000,101.73539407719865
Oahu,2008041002,137.1482657106667
Oahu,2008041004,92.837984859677
Oahu,2008041006,-88.35940446225472
Oahu,2008041008,-84.13715318124237
Oahu,2008041010,16.704837902510963
Oahu,2008041012,71.69273601655516
Oahu,2008041014,-2.811048807614312
Oahu,2008041016,-11.069716722277178
Oahu,2008041018,-106.63837402044598
Oahu,2008041020,-98.6728106565846
Oahu,2008041022,-28.430710716189328
Oahu,2008061700,36.48415638767062
Oahu,2008061702,36.48415638767062
Oahu,2008061704,30.18126854551397
Oahu,2008061706,-89.30374663001228
Oahu,2008061708,-10.022490602988293
Oahu,2008061710,79.27481509486978
Oahu,2008061712,125.67524061956817
Oahu,2008061714,125.67524061956817
Oahu,2008061716,-43.988442864696765
Oahu,2008061718,-104.79895162872101
Oahu,2008061720,-102.009610245413
Oahu,2008061722,-83.65163568303001
Oahu,2008081800,72.48190442049375
Oahu,2008081802,72.48190442049375
Oahu,2008081804,21.624176727862046
Oahu,2008081806,-92.51506768277102
Oahu,2008081808,55.12509588500456
Oahu,2008081810,71.2784245334099
Oahu,2008081812,71.2784245334099
Oahu,2008081814,43.81191531127367
Oahu,2008081816,-18.806289251109156
Oahu,2008081818,-108.37648411267702
Oahu,2008081820,-104.90584075203999
Oahu,2008081822,-83.47816403335041
Oahu,2008091000,59.28507776088866
Oahu,2008091002,62.55629655277658
Oahu,2008091004,36.16119017083002
Oahu,2008091006,-92.02058930359067
Oahu,2008091008,-6.316115215712497
Oahu,2008091010,66.61761345904924
Oahu,2008091012,116.8613304891299
Oahu,2008091014,84.8697666612223
Oahu,2008091016,-43.79785182319465
Oahu,2008091018,-110.22241279886501
Oahu,2008091020,-102.08396789641802
Oahu,2008091022,-71.9103380561159
Oahu,2008112200,69.53586204167458
Oahu,2008112202,93.70176039914831
Oahu,2008112204,93.7017603991483
Oahu,2008112206,-12.872734267093
Oahu,2008112208,2.923830277161704
Oahu,2008112210,7.2666584840068325
