generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_CC_152,Oahu_CC_152,CC_152,Oahu,multiple,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2020,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2023,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2025,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2030,3.117812929848683,13786.592307737674,3941.0471843191076,113.0,4008559.9753119107,1694967.0099513936,1833.7577353778308,0.003149687770081912,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2035,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2040,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2045,44.02492434662998,194672.89956214247,0.0,113.0,4008559.9753119107,1694967.0099513936,133.97410608558923,0.04447501146263182,0.0,0.0
Oahu_CIP_CT,Oahu_CIP_CT,CIP_CT,Oahu,multiple,2050,19.06233837689136,84291.35857329893,0.0,113.0,4008559.9753119107,1694967.0099513936,303.6258317003218,0.019257221458046796,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2020,61.96104300207212,0.0,0.0,27.6,8950510.290831657,670995.3662553601,155.2831455204079,0.2562745806121041,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2023,61.96104300207208,0.0,0.0,27.6,8950510.290831657,670995.3662553601,155.28314552040794,0.25627458061210406,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2025,61.96104300207219,0.0,0.0,27.6,8950510.290831657,670995.3662553601,155.28314552040766,0.25627458061210456,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2030,511.3205014338163,0.0,0.0,239.2828280401021,32503828.85982652,2962318.3741589226,69.36187212234448,0.2439369374438331,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2035,582.1960427290043,0.0,0.0,272.066085442376,35953541.01346078,3297504.2848654515,67.41894897522768,0.2442815882886807,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2040,572.1451191255144,0.0,0.0,272.066085442376,35953541.01346078,3297504.2848654515,68.60330357850263,0.24006435663227874,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2045,536.7256633266502,0.0,0.0,272.066085442376,35953541.01346078,3297504.2848654515,73.13055436001783,0.2252028318470705,0.0,0.0
Oahu_CentralTrackingPV_PV_01,Oahu_CentralTrackingPV_PV_01,CentralTrackingPV,Oahu,SUN,2050,205.94049449852113,0.0,0.0,244.466085442376,27003030.722629122,2626508.9186100913,143.8742764670402,0.09616544081013491,0.0,0.0
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2020,11.282895026803992,0.0,0.0,5.0,1619756.621736239,121557.13156800001,154.33217708465074,0.2576003430777166,0.0,0.0
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2023,11.282895026803988,0.0,0.0,5.0,1619756.621736239,121557.13156800001,154.33217708465074,0.2576003430777166,0.0,0.0
