ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2007011200,58.74196218983666
Oahu,2007011202,118.32282620843738
Oahu,2007011204,62.40028698764216
Oahu,2007011206,-90.93101741357887
Oahu,2007011208,-62.889056783940546
Oahu,2007011210,59.13305394097134
Oahu,2007011212,59.13305394097133
Oahu,2007011214,92.85493742761956
Oahu,2007011216,-19.679125844732447
Oahu,2007011218,-104.856111142073
Oahu,2007011220,-95.2594083335193
Oahu,2007011222,-76.97140117763426
Oahu,2007011900,129.16189759761266
Oahu,2007011902,138.17112069383657
Oahu,2007011904,95.54905267651102
Oahu,2007011906,-88.44863859067311
Oahu,2007011908,-92.49561495625758
Oahu,2007011910,35.78590445541643
Oahu,2007011912,67.14729778236182
Oahu,2007011914,55.07359912613685
Oahu,2007011916,-79.62101131174425
Oahu,2007011918,-103.173762326549
Oahu,2007011920,-94.05524888240801
Oahu,2007011922,-63.094596264243364
Oahu,2007021200,50.18433386738146
Oahu,2007021202,50.18433386738146
Oahu,2007021204,1.3261496700213815
Oahu,2007021206,-84.70632679614101
Oahu,2007021208,-90.8344342836785
Oahu,2007021210,129.09396988233243
Oahu,2007021212,129.09396988233243
Oahu,2007021214,129.09396988233243
Oahu,2007021216,-37.947498346353
Oahu,2007021218,-104.77382234131301
Oahu,2007021220,-94.72270248856691
Oahu,2007021222,-75.9919427957292
Oahu,2007050200,77.32339321629826
Oahu,2007050202,64.59914527608099
Oahu,2007050204,-2.8883395674449606
Oahu,2007050206,-89.06031867631741
Oahu,2007050208,5.179151130176695
Oahu,2007050210,127.89467894370587
Oahu,2007050212,71.23452309058266
Oahu,2007050214,71.23452309058266
Oahu,2007050216,-82.2988255446618
Oahu,2007050218,-104.084425054952
Oahu,2007050220,-98.54821740386672
Oahu,2007050222,-40.585288500184326
Oahu,2007092200,26.91339821731592
Oahu,2007092202,59.68224605051163
Oahu,2007092204,59.68224605051163
Oahu,2007092206,-80.43645235674059
Oahu,2007092208,-0.8913319913840603
Oahu,2007092210,35.028721094558676
Oahu,2007092212,125.4224583011728
Oahu,2007092214,107.37173031608397
Oahu,2007092216,-46.83295603997871
Oahu,2007092218,-104.34409193734801
Oahu,2007092220,-96.3547637036267
Oahu,2007092222,-85.2412040010766
Oahu,2007102700,58.735906121123435
Oahu,2007102702,100.01862862769462
Oahu,2007102704,49.86543666432289
Oahu,2007102706,-35.725037832132095
Oahu,2007102708,100.0065458759928
Oahu,2007102710,16.732263522819522
Oahu,2007102712,32.685953979849494
Oahu,2007102714,18.616698875577846
Oahu,2007102716,-98.4869579633015
Oahu,2007102718,-102.78517632296301
Oahu,2007102720,-95.16797633267561
Oahu,2007102722,-44.496285216308394
Oahu,2007121500,76.46920442014776
Oahu,2007121502,133.07674335812422
Oahu,2007121504,23.350765978258767
Oahu,2007121506,-76.031258556092
Oahu,2007121508,-85.24268012200949
Oahu,2007121510,69.06462545837665
Oahu,2007121512,129.2341260823317
Oahu,2007121514,52.24142480481899
Oahu,2007121516,-93.65660535872951
Oahu,2007121518,-99.50185317266642
Oahu,2007121520,-92.24580958571141
Oahu,2007121522,-36.758683306849306
Oahu,2008022000,73.99292556459554
Oahu,2008022002,93.11097606842961
Oahu,2008022004,64.97667121960107
Oahu,2008022006,-87.59259118627061
Oahu,2008022008,7.640506751348722
Oahu,2008022010,96.40543446638948
Oahu,2008022012,96.4054344663895
Oahu,2008022014,18.613185761984944
Oahu,2008022016,-102.946516648071
Oahu,2008022018,-107.10868616305
Oahu,2008022020,-96.7181339058028
Oahu,2008022022,-56.77920639554444
Oahu,2008041000,101.73539407719854
Oahu,2008041002,132.24200177424763
Oahu,2008041004,64.837984859677
Oahu,2008041006,-88.3594044622548
Oahu,2008041008,-84.0054403647088
Oahu,2008041010,43.540687902510975
Oahu,2008041012,77.72695713644103
Oahu,2008041014,-2.5419588076143063
Oahu,2008041016,-11.434326722277149
Oahu,2008041018,-106.63837402044601
Oahu,2008041020,-98.6728106565846
Oahu,2008041022,-28.43071071618944
Oahu,2008061700,64.55377658479901
Oahu,2008061702,64.55377658479902
Oahu,2008061704,39.75231333696106
Oahu,2008061706,-89.3037466300122
Oahu,2008061708,-9.480270602988364
Oahu,2008061710,75.72616509486971
Oahu,2008061712,94.38389052671627
Oahu,2008061714,94.38389052671627
Oahu,2008061716,-44.10959786469675
Oahu,2008061718,-104.79895162872101
Oahu,2008061720,-102.009610245413
Oahu,2008061722,-83.65163568303001
Oahu,2008081800,79.17631341007382
Oahu,2008081802,87.4750073434389
Oahu,2008081804,36.3347655750673
Oahu,2008081806,-92.51506768277099
Oahu,2008081808,27.39270588500454
Oahu,2008081810,105.26791481689003
Oahu,2008081812,126.30312804837985
Oahu,2008081814,37.15184044970597
Oahu,2008081816,-108.37648411267703
Oahu,2008081818,-108.37648411267702
Oahu,2008081820,-104.90584075203999
Oahu,2008081822,-84.92779886839541
Oahu,2008091000,59.28507776088866
Oahu,2008091002,62.55629655277658
Oahu,2008091004,43.259190170829996
Oahu,2008091006,-92.02058930359074
Oahu,2008091008,-6.333095215712486
Oahu,2008091010,68.06877345904925
Oahu,2008091012,131.84485932281137
Oahu,2008091014,85.61729666122228
Oahu,2008091016,-71.62258182319455
Oahu,2008091018,-110.22241279886501
Oahu,2008091020,-102.08396789641802
Oahu,2008091022,-68.34884688979736
Oahu,2008112200,69.53586204167458
Oahu,2008112202,93.70176039914831
Oahu,2008112204,93.7017603991483
Oahu,2008112206,-12.872734267093
Oahu,2008112208,2.94312327716168
Oahu,2008112210,7.568863484006847
Oahu,2008112212,24.01657663227527
Oahu,2008112214,24.016576632275264
Oahu,2008112216,-74.7116215331496
Oahu,2008112218,-96.0182425157225
Oahu,2008112220,-87.5377524186547
Oahu,2008112222,-44.34417213107041
Oahu,2307011200,-29.39238952853999
Oahu,2307011202,-29.392389528539987
Oahu,2307011204,-29.392389528539987
Oahu,2307011206,-88.82082313625472
Oahu,2307011208,13.634849623412109
Oahu,2307011210,109.44415850536883
Oahu,2307011212,109.44415850536883
Oahu,2307011214,109.44415850536883
Oahu,2307011216,109.44415850536883
Oahu,2307011218,-101.973215108885
Oahu,2307011220,-92.9090321709514
Oahu,2307011222,-79.53124464317631
Oahu,2307011900,8.547642421306508
Oahu,2307011902,8.547642421306508
Oahu,2307011904,8.547642421306506
Oahu,2307011906,-86.4761912120464
Oahu,2307011908,67.63242690675126
Oahu,2307011910,119.85291241536
Oahu,2307011912,119.85291241536001
Oahu,2307011914,119.85291241536001
Oahu,2307011916,-95.8314021273126
Oahu,2307011918,-100.38421962433901
Oahu,2307011920,-91.7716913811974
Oahu,2307011922,-78.37058707185551
Oahu,2307021200,-54.71700754918021
Oahu,2307021202,-54.7170075491802
Oahu,2307021204,-54.71700754918021
Oahu,2307021206,-82.9415398434335
Oahu,2307021208,66.89868224659581
Oahu,2307021210,112.30054919160666
Oahu,2307021212,112.30054919160666
Oahu,2307021214,112.30054919160666
Oahu,2307021216,112.30054919160666
Oahu,2307021218,-101.89549250366301
Oahu,2307021220,-92.4021080680011
Oahu,2307021222,-74.7107159503842
Oahu,2307050200,-60.71978342585481
Oahu,2307050202,-60.71978342585481
Oahu,2307050204,-65.25964715534381
Oahu,2307050206,-87.05392924419941
Oahu,2307050208,117.36978372295944
Oahu,2307050210,117.36978372295944
Oahu,2307050212,117.36978372295944
Oahu,2307050214,117.36978372295944
Oahu,2307050216,80.27217784446196
Oahu,2307050218,-101.24434978880001
Oahu,2307050220,-96.0153456263389
Oahu,2307050222,-78.73847406990811
Oahu,2307092200,-71.1449755396823
Oahu,2307092202,-66.125822411322
Oahu,2307092204,-66.125822411322
Oahu,2307092206,-78.9086002168948
Oahu,2307092208,112.23703430980251
Oahu,2307092210,112.23703430980251
Oahu,2307092212,112.23703430980251
Oahu,2307092214,112.23703430980251
Oahu,2307092216,112.23703430980251
Oahu,2307092218,-101.489607787501
Oahu,2307092220,-93.9436064049115
Oahu,2307092222,-83.4467367773789
Oahu,2307102700,-70.1717158053977
Oahu,2307102702,-65.1465175855201
Oahu,2307102704,-66.16461646802492
Oahu,2307102706,-78.20477884738114
Oahu,2307102708,162.61482732578924
Oahu,2307102710,162.61482732578924
Oahu,2307102712,162.61482732578924
Oahu,2307102714,162.61482732578924
Oahu,2307102716,-95.95748546467341
Oahu,2307102718,-100.017196210789
Oahu,2307102720,-92.82267372070442
Oahu,2307102722,-81.97432520066621
Oahu,2307121500,-67.2709354615983
Oahu,2307121502,-61.66454487155781
Oahu,2307121504,-61.66454487155781
Oahu,2307121506,-74.74785008399053
Oahu,2307121508,15.796417065078273
Oahu,2307121510,182.50881118664392
Oahu,2307121512,182.50881118664392
Oahu,2307121514,182.50881118664392
Oahu,2307121516,-32.189556177478586
Oahu,2307121518,-96.916064262416
Oahu,2307121520,-90.06265765080771
Oahu,2307121522,-78.8066972456033
Oahu,2308022000,-59.228977269848706
Oahu,2308022002,-59.228977269848706
Oahu,2308022004,-59.228977269848706
Oahu,2308022006,-85.6676457739058
Oahu,2308022008,89.89239352249704
Oahu,2308022010,151.98166254018525
Oahu,2308022012,151.98166254018528
Oahu,2308022014,151.98166254018528
Oahu,2308022016,-7.907931426580061
Oahu,2308022018,-104.10079501615901
Oahu,2308022020,-94.28681323880261
Oahu,2308022022,-76.1872638780593
Oahu,2308041000,67.62812352506721
Oahu,2308041002,67.6281235250672
Oahu,2308041004,67.6281235250672
Oahu,2308041006,-86.3919086745515
Oahu,2308041008,-76.84487838476763
Oahu,2308041010,49.28176584201341
Oahu,2308041012,49.28176584201341
Oahu,2308041014,49.2817658420134
Oahu,2308041016,49.28176584201341
Oahu,2308041018,-103.65658043709601
Oahu,2308041020,-96.13302521463041
Oahu,2308041022,-36.98504123220965
Oahu,2308061700,-21.273077438958843
Oahu,2308061702,-21.273077438958843
Oahu,2308061704,-21.273077438958843
Oahu,2308061706,-87.283849410377
Oahu,2308061708,100.02302168033584
Oahu,2308061710,125.17580859541584
Oahu,2308061712,125.17580859541584
Oahu,2308061714,125.17580859541583
Oahu,2308061716,-41.29809875708883
Oahu,2308061718,-101.919227369971
Oahu,2308061720,-99.28466620047071
Oahu,2308061722,-81.94537341179921
Oahu,2308081800,-66.40537787691278
Oahu,2308081802,-65.1398404335429
Oahu,2308081804,-70.1183797178605
Oahu,2308081806,-90.31697464883891
Oahu,2308081808,116.48994467505116
Oahu,2308081810,116.48994467505118
Oahu,2308081812,116.48994467505118
Oahu,2308081814,116.48994467505118
Oahu,2308081816,116.48994467505118
Oahu,2308081818,-105.29824301189302
Oahu,2308081820,-102.02018522884902
Oahu,2308081822,-83.15072245735871
Oahu,2308091000,-64.90280893878611
Oahu,2308091002,-64.9028089387861
Oahu,2308091004,-64.90280893878611
Oahu,2308091006,-89.8499348147255
Oahu,2308091008,114.34076080720789
Oahu,2308091010,114.34076080720789
Oahu,2308091012,114.34076080720789
Oahu,2308091014,114.34076080720789
Oahu,2308091016,114.34076080720789
Oahu,2308091018,-107.041741339993
Oahu,2308091020,-99.3548977544727
Oahu,2308091022,-80.7488033104899
Oahu,2308112200,46.54863882537725
Oahu,2308112202,46.54863882537725
Oahu,2308112204,46.54863882537725
Oahu,2308112206,-56.58858637487884
Oahu,2308112208,-5.612448862956315
Oahu,2308112210,81.51944343486183
Oahu,2308112212,81.51944343486184
Oahu,2308112214,81.51944343486184
Oahu,2308112216,-67.58479540843874
Oahu,2308112218,-93.62575873675871
Oahu,2308112220,-85.6158500028293
Oahu,2308112222,-75.1768073948553
Oahu,2507011200,-67.09983593606931
Oahu,2507011202,-62.9380259290674
Oahu,2507011204,-67.6281938210604
Oahu,2507011206,-87.55188740013891
Oahu,2507011208,74.74560774394072
Oahu,2507011210,120.10804707606073
Oahu,2507011212,120.10804707606073
Oahu,2507011214,120.10804707606073
Oahu,2507011216,120.10804707606073
Oahu,2507011218,-99.63430570106131
Oahu,2507011220,-91.3075123664269
Oahu,2507011222,-79.0180348943594
Oahu,2507011900,-60.137570472583114
Oahu,2507011902,-60.13757047258311
Oahu,2507011904,-60.137570472583114
Oahu,2507011906,-85.3979960221347
Oahu,2507011908,156.54798074551746
Oahu,2507011910,156.54798074551746
Oahu,2507011912,156.54798074551746
Oahu,2507011914,156.54798074551746
Oahu,2507011916,-93.99214161989521
Oahu,2507011918,-98.1745782109958
Oahu,2507011920,-90.2626965488094
Oahu,2507011922,-77.9517991624854
Oahu,2507021200,-59.32440706099771
Oahu,2507021202,-56.22248614460861
Oahu,2507021204,-62.323988387050704
Oahu,2507021206,-82.1508956868966
Oahu,2507021208,69.39370477368972
Oahu,2507021210,113.90561800275398
Oahu,2507021212,113.90561800275398
Oahu,2507021214,113.90561800275398
Oahu,2507021216,113.90561800275398
Oahu,2507021218,-99.5629059868733
Oahu,2507021220,-90.8418275638897
Oahu,2507021222,-74.589665954389
Oahu,2507050200,-65.26327662112281
Oahu,2507050202,-61.736924070394004
Oahu,2507050204,-65.90746070913
Oahu,2507050206,-85.9287338975987
Oahu,2507050208,118.66455073372903
Oahu,2507050210,118.66455073372903
Oahu,2507050212,118.66455073372903
Oahu,2507050214,118.66455073372903
Oahu,2507050216,75.59380616445416
Oahu,2507050218,-98.96473504800952
Oahu,2507050220,-94.1611209434734
Oahu,2507050222,-78.28975780964191
Oahu,2507092200,-71.3140057334757
Oahu,2507092202,-66.7031708572472
Oahu,2507092204,-67.98677905231561
Oahu,2507092206,-78.4460438506978
Oahu,2507092208,111.70259120618402
Oahu,2507092210,111.70259120618402
Oahu,2507092212,111.70259120618402
Oahu,2507092214,111.70259120618402
Oahu,2507092216,111.70259120618402
Oahu,2507092218,-99.19004081278051
Oahu,2507092220,-92.25792189528481
Oahu,2507092222,-82.6149938291185
Oahu,2507102700,-70.41992264581063
Oahu,2507102702,-65.80353445847861
Oahu,2507102704,-67.48936104347261
Oahu,2507102706,-77.79947977221781
Oahu,2507102708,157.9155934727228
Oahu,2507102710,157.91559347272278
Oahu,2507102712,157.91559347272278
Oahu,2507102714,157.91559347272278
Oahu,2507102716,-79.82211781591703
Oahu,2507102718,-97.837412893997
Oahu,2507102720,-91.22817935066251
Oahu,2507102722,-81.262365910335
Oahu,2507121500,-67.7551266462835
Oahu,2507121502,-62.60482726285681
Oahu,2507121504,-64.53737952687831
Oahu,2507121506,-74.6237791511677
Oahu,2507121508,76.87923848656231
Oahu,2507121510,151.66566758938896
Oahu,2507121512,151.665667589389
Oahu,2507121514,151.665667589389
Oahu,2507121516,-0.3214373107192916
Oahu,2507121518,-94.9885642978964
Oahu,2507121520,-88.69269616683141
Oahu,2507121522,-78.35243089209581
Oahu,2508022000,-64.19977167100481
Oahu,2508022002,-60.3673980085233
Oahu,2508022004,-65.7675608965654
Oahu,2508022006,-84.65522738968761
Oahu,2508022008,128.26141974137028
Oahu,2508022010,128.26141974137028
Oahu,2508022012,128.26141974137028
Oahu,2508022014,128.26141974137028
Oahu,2508022016,32.05238356587637
Oahu,2508022018,-101.58880268243301
Oahu,2508022020,-92.57320815952001
Oahu,2508022022,-75.9460937236233
Oahu,2508041000,-59.581083967925714
Oahu,2508041002,-59.58108396792571
Oahu,2508041004,-59.581083967925714
Oahu,2508041006,-85.32057003942401
Oahu,2508041008,-31.383262517103233
Oahu,2508041010,142.0982944638708
Oahu,2508041012,142.0982944638708
Oahu,2508041014,142.0982944638708
Oahu,2508041016,142.0982944638708
Oahu,2508041018,-101.180725857261
Oahu,2508041020,-94.26922705939342
Oahu,2508041022,-77.4961404785243
Oahu,2508061700,-69.3999285261565
Oahu,2508061702,-65.25948105494851
Oahu,2508061704,-69.9765588225946
Oahu,2508061706,-86.13994959352361
Oahu,2508061708,139.24694138483716
Oahu,2508061710,139.24694138483716
Oahu,2508061712,139.24694138483716
Oahu,2508061714,139.24694138483716
Oahu,2508061716,11.773107520390049
Oahu,2508061718,-99.5847099738327
Oahu,2508061720,-97.1644756806705
Oahu,2508061722,-81.2357694080122
Oahu,2508081800,-69.3434752104212
Oahu,2508081802,-65.7974005063112
Oahu,2508081804,-70.370925556802
Oahu,2508081806,-88.9263239630256
Oahu,2508081808,115.82949533581555
Oahu,2508081810,115.82949533581555
Oahu,2508081812,115.82949533581555
Oahu,2508081814,115.82949533581555
Oahu,2508081816,115.82949533581555
Oahu,2508081818,-102.68883586333
Oahu,2508081820,-99.67745470682631
Oahu,2508081822,-82.3430608723614
Oahu,2508091000,-69.2136325842303
Oahu,2508091002,-65.57965200276111
Oahu,2508091004,-70.41608820939021
Oahu,2508091006,-88.497278763438
Oahu,2508091008,115.07253701940039
Oahu,2508091010,115.07253701940039
Oahu,2508091012,115.07253701940039
Oahu,2508091014,115.07253701940039
Oahu,2508091016,115.07253701940039
Oahu,2508091018,-104.29049707833201
Oahu,2508091020,-97.22899375579641
Oahu,2508091022,-80.1365427030538
Oahu,2508112200,-15.8660133481319
Oahu,2508112202,-15.8660133481319
Oahu,2508112204,-15.8660133481319
Oahu,2508112206,-72.43872986458875
Oahu,2508112208,-8.958192468797792
Oahu,2508112210,141.400901534635
Oahu,2508112212,141.400901534635
Oahu,2508112214,141.400901534635
Oahu,2508112216,-43.616325221694886
Oahu,2508112218,-91.965931777397
Oahu,2508112220,-84.6076453092822
Oahu,2508112222,-75.0178399177487
Oahu,3007011200,-72.0071409290797
Oahu,3007011202,-69.5865645209348
Oahu,3007011204,-72.3144424707924
Oahu,3007011206,-83.9023867929713
Oahu,3007011208,110.75318625413851
Oahu,3007011210,110.75318625413851
Oahu,3007011212,110.75318625413851
Oahu,3007011214,110.75318625413851
Oahu,3007011216,110.75318625413851
Oahu,3007011218,-90.929717844448
Oahu,3007011220,-86.0867193732531
Oahu,3007011222,-78.9389593392133
Oahu,3007011900,-70.3239036555547
Oahu,3007011902,-67.9577740671126
Oahu,3007011904,-71.0732395470581
Oahu,3007011906,-82.64964852607972
Oahu,3007011908,158.3828206484252
Oahu,3007011910,158.3828206484252
Oahu,3007011912,158.3828206484252
Oahu,3007011914,158.3828206484252
Oahu,3007011916,-87.6481434230362
Oahu,3007011918,-90.0807165880648
Oahu,3007011920,-85.4790374957222
Oahu,3007011922,-78.3188192910725
Oahu,3007021200,-67.48482499766
Oahu,3007021202,-65.6806973278455
