PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,51.260867851385115,3431263095.663915,1213055688.8723478,23664361.133900896
2023,78.73172087657412,2125234275.3895366,1213659604.5678995,15415128.62992701
2025,31.776625430701838,4771748521.500528,1207886033.7452269,38011778.0718841
2030,29.901533274615307,3724706653.431263,1093016229.0276732,36553852.23859345
2035,30.380706506248245,3332687977.4491863,1133744815.1884174,37317921.3246817
2040,29.704012335588693,2908091916.2610526,1146871899.6045465,38609999.438711084
2045,27.602489999463312,2387961159.7791615,1091742368.8565416,39552314.623708546
2050,29.28599825079748,2185510543.96842,1158329016.8849201,39552314.623708546
