GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
Oahu_CentralTrackingPV_PV_02,2045,CentralTrackingPV,Oahu,SUN,5,1.61976e+06,121557
Oahu_CentralTrackingPV_PV_02,2050,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_03,2020,CentralTrackingPV,Oahu,SUN,1,439681,24311.4
Oahu_CentralTrackingPV_PV_03,2023,CentralTrackingPV,Oahu,SUN,1,439681,24311.4
Oahu_CentralTrackingPV_PV_03,2025,CentralTrackingPV,Oahu,SUN,1,439681,24311.4
Oahu_CentralTrackingPV_PV_03,2030,CentralTrackingPV,Oahu,SUN,1,439681,24311.4
Oahu_CentralTrackingPV_PV_03,2035,CentralTrackingPV,Oahu,SUN,1,439681,24311.4
Oahu_CentralTrackingPV_PV_03,2040,CentralTrackingPV,Oahu,SUN,1,439681,24311.4
Oahu_CentralTrackingPV_PV_03,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_03,2050,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_04,2020,CentralTrackingPV,Oahu,SUN,10,4.01579e+06,243114
Oahu_CentralTrackingPV_PV_04,2023,CentralTrackingPV,Oahu,SUN,246.035,3.44577e+07,3.24222e+06
Oahu_CentralTrackingPV_PV_04,2025,CentralTrackingPV,Oahu,SUN,246.035,3.44577e+07,3.24222e+06
Oahu_CentralTrackingPV_PV_04,2030,CentralTrackingPV,Oahu,SUN,246.035,3.44577e+07,3.24222e+06
Oahu_CentralTrackingPV_PV_04,2035,CentralTrackingPV,Oahu,SUN,246.035,3.44577e+07,3.24222e+06
Oahu_CentralTrackingPV_PV_04,2040,CentralTrackingPV,Oahu,SUN,246.035,3.44577e+07,3.24222e+06
Oahu_CentralTrackingPV_PV_04,2045,CentralTrackingPV,Oahu,SUN,236.035,3.04419e+07,2.9991e+06
Oahu_CentralTrackingPV_PV_04,2050,CentralTrackingPV,Oahu,SUN,236.035,3.04419e+07,2.9991e+06
Oahu_CentralTrackingPV_PV_05,2020,CentralTrackingPV,Oahu,SUN,30,4.15063e+06,410130
Oahu_CentralTrackingPV_PV_05,2023,CentralTrackingPV,Oahu,SUN,34.1891,4.68953e+06,463357
Oahu_CentralTrackingPV_PV_05,2025,CentralTrackingPV,Oahu,SUN,34.1891,4.68953e+06,463357
Oahu_CentralTrackingPV_PV_05,2030,CentralTrackingPV,Oahu,SUN,34.1891,4.68953e+06,463357
Oahu_CentralTrackingPV_PV_05,2035,CentralTrackingPV,Oahu,SUN,34.1891,4.68953e+06,463357
Oahu_CentralTrackingPV_PV_05,2040,CentralTrackingPV,Oahu,SUN,34.1891,4.68953e+06,463357
Oahu_CentralTrackingPV_PV_05,2045,CentralTrackingPV,Oahu,SUN,34.1891,4.68953e+06,463357
Oahu_CentralTrackingPV_PV_05,2050,CentralTrackingPV,Oahu,SUN,4.18905,538895,53226.9
Oahu_CentralTrackingPV_PV_06,2020,CentralTrackingPV,Oahu,SUN,1,443617,24311.4
Oahu_CentralTrackingPV_PV_06,2023,CentralTrackingPV,Oahu,SUN,1,443617,24311.4
Oahu_CentralTrackingPV_PV_06,2025,CentralTrackingPV,Oahu,SUN,1,443617,24311.4
Oahu_CentralTrackingPV_PV_06,2030,CentralTrackingPV,Oahu,SUN,1,443617,24311.4
Oahu_CentralTrackingPV_PV_06,2035,CentralTrackingPV,Oahu,SUN,1,443617,24311.4
Oahu_CentralTrackingPV_PV_06,2040,CentralTrackingPV,Oahu,SUN,1,443617,24311.4
Oahu_CentralTrackingPV_PV_06,2045,CentralTrackingPV,Oahu,SUN,5.40066,495368,49167.9
Oahu_CentralTrackingPV_PV_06,2050,CentralTrackingPV,Oahu,SUN,5.40066,495368,49167.9
Oahu_CentralTrackingPV_PV_07,2020,CentralTrackingPV,Oahu,SUN,67.1,1.05407e+07,991712
Oahu_CentralTrackingPV_PV_07,2023,CentralTrackingPV,Oahu,SUN,67.1,1.05407e+07,991712
Oahu_CentralTrackingPV_PV_07,2025,CentralTrackingPV,Oahu,SUN,67.1,1.05407e+07,991712
Oahu_CentralTrackingPV_PV_07,2030,CentralTrackingPV,Oahu,SUN,67.1,1.05407e+07,991712
Oahu_CentralTrackingPV_PV_07,2035,CentralTrackingPV,Oahu,SUN,67.1,1.05407e+07,991712
Oahu_CentralTrackingPV_PV_07,2040,CentralTrackingPV,Oahu,SUN,67.1,1.05407e+07,991712
Oahu_CentralTrackingPV_PV_07,2045,CentralTrackingPV,Oahu,SUN,67.1,1.05407e+07,991712
Oahu_CentralTrackingPV_PV_07,2050,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_08,2050,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2035,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2040,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2045,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_09,2050,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_10,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_10,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_10,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_10,2030,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_10,2035,CentralTrackingPV,Oahu,SUN,2.47042,258611,25258.4
Oahu_CentralTrackingPV_PV_10,2040,CentralTrackingPV,Oahu,SUN,220.77,2.17925e+07,2.12624e+06
Oahu_CentralTrackingPV_PV_10,2045,CentralTrackingPV,Oahu,SUN,348.769,3.37486e+07,3.29155e+06
Oahu_CentralTrackingPV_PV_10,2050,CentralTrackingPV,Oahu,SUN,348.769,3.37486e+07,3.29155e+06
Oahu_CentralTrackingPV_PV_11,2020,CentralTrackingPV,Oahu,SUN,49,6.89917e+06,674104
Oahu_CentralTrackingPV_PV_11,2023,CentralTrackingPV,Oahu,SUN,49,6.89917e+06,674104
Oahu_CentralTrackingPV_PV_11,2025,CentralTrackingPV,Oahu,SUN,161.452,2.09342e+07,2.04248e+06
Oahu_CentralTrackingPV_PV_11,2030,CentralTrackingPV,Oahu,SUN,346.392,4.15143e+07,4.04433e+06
Oahu_CentralTrackingPV_PV_11,2035,CentralTrackingPV,Oahu,SUN,346.392,4.15143e+07,4.04433e+06
Oahu_CentralTrackingPV_PV_11,2040,CentralTrackingPV,Oahu,SUN,346.392,4.15143e+07,4.04433e+06
Oahu_CentralTrackingPV_PV_11,2045,CentralTrackingPV,Oahu,SUN,346.392,4.15143e+07,4.04433e+06
Oahu_CentralTrackingPV_PV_11,2050,CentralTrackingPV,Oahu,SUN,346.392,3.89629e+07,3.79083e+06
Oahu_CentralTrackingPV_PV_12,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_12,2023,CentralTrackingPV,Oahu,SUN,32.3763,4.22757e+06,411379
Oahu_CentralTrackingPV_PV_12,2025,CentralTrackingPV,Oahu,SUN,246.924,3.10814e+07,3.02211e+06
Oahu_CentralTrackingPV_PV_12,2030,CentralTrackingPV,Oahu,SUN,246.924,3.10814e+07,3.02211e+06
Oahu_CentralTrackingPV_PV_12,2035,CentralTrackingPV,Oahu,SUN,246.924,3.10814e+07,3.02211e+06
Oahu_CentralTrackingPV_PV_12,2040,CentralTrackingPV,Oahu,SUN,246.924,3.10814e+07,3.02211e+06
Oahu_CentralTrackingPV_PV_12,2045,CentralTrackingPV,Oahu,SUN,246.924,3.10814e+07,3.02211e+06
Oahu_CentralTrackingPV_PV_12,2050,CentralTrackingPV,Oahu,SUN,246.924,3.10814e+07,3.02211e+06
Oahu_CentralTrackingPV_PV_13,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_13,2023,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_13,2025,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_13,2030,CentralTrackingPV,Oahu,SUN,400.306,4.46479e+07,4.33304e+06
Oahu_CentralTrackingPV_PV_13,2035,CentralTrackingPV,Oahu,SUN,420.478,4.67759e+07,4.53928e+06
Oahu_CentralTrackingPV_PV_13,2040,CentralTrackingPV,Oahu,SUN,420.478,4.67759e+07,4.53928e+06
Oahu_CentralTrackingPV_PV_13,2045,CentralTrackingPV,Oahu,SUN,489.409,5.32706e+07,5.16684e+06
Oahu_CentralTrackingPV_PV_13,2050,CentralTrackingPV,Oahu,SUN,489.409,5.32706e+07,5.16684e+06
Oahu_CentralTrackingPV_PV_14,2020,CentralTrackingPV,Oahu,SUN,0,0,0
Oahu_CentralTrackingPV_PV_14,2023,CentralTrackingPV,Oahu,SUN,0,0,0
