load_zone,period,AES,Airport_DSG,Battery_Bulk,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,0.0,0.0,0.0,190.7,31.941,266.9559999999997,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,99.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2023,0.0,0.0,439.1,0.0,463.3,57.736999999999995,338.46899999999965,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2025,0.0,0.0,611.1,0.0,790.3,66.011,385.8779999999996,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2030,0.0,0.0,611.1,113.0,1587.2289450505045,99.398,527.6079999999997,73.0,12.2,0.0,0.0,82.1,86.1,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2035,0.0,0.0,611.1,113.0,1642.6540861322162,144.287,689.7809999999997,73.0,12.2,0.0,0.0,82.1,86.1,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2040,0.0,0.0,611.1,113.0,1860.9536825279065,193.00900000000001,689.7809999999997,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,460.7139999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2045,0.0,8.0,664.9751486308539,113.0,2526.8771887634152,244.132,771.0472680154174,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,200.0,323.0,549.7437319845822,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2050,0.0,8.0,664.9751486308539,113.0,2539.7930296209774,244.132,835.8510563069857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,1698.3428893628698,323.0,484.9399436930138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
