period,variable,value
2049,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2049,Pumped_Hydro_Net_Load,-59439.36858842524
2049,co2_emissions,0.0
2049,ev_load,1273399.28696484
2049,gross_load,7910462.924741712
2050,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2050,Pumped_Hydro_Net_Load,-57995.540479107796
2050,co2_emissions,0.0
2050,ev_load,1332541.3368219677
2050,gross_load,7910462.924741712
