generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2048,4.321760660247593,76602.23022491219,0.0,8.0,283791.85665925033,67349.46997205736,98.9743742152798,0.06166895919303069,0.0,0.0
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2049,1.1246217331499313,19933.66585778384,0.0,8.0,283791.85665925033,67349.46997205736,329.9553810415479,0.016047684548372302,0.0,0.0
Oahu_Airport_DSG,Oahu_Airport_DSG,Airport_DSG,Oahu,multiple,2050,5.799834938101788,102800.76249514236,0.0,8.0,283791.85665925033,67349.46997205736,78.26810486351867,0.08276020174232,0.0,0.0
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2020,4.1667445323209326e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1667445323209326e-14
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2021,-1.4791760052789864e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4791760052789864e-13,0.0
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2022,-21.36386402680728,0.0,0.0,139.5,10162119.46337367,4283725.454490182,75.13125330457949,0.15734175892478466,213.63864026807272,192.27477624126544
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2023,-32.489481404483215,0.0,0.0,439.1,30793405.224234886,12980608.451309618,149.70319891322026,0.07601822861008477,324.89481404483223,292.405332640349
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2024,-48.068123005205436,0.0,0.0,611.1,41952559.61889269,17684622.59946764,137.85338734987073,0.08081338223213931,480.6812300520543,432.61310704684877
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2025,-65.45047833670743,0.0,0.0,611.1,41952559.61889269,17684622.59946764,101.24224831068162,0.11003705142653265,654.5047833670739,589.0543050303663
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2026,-84.87805692246042,0.0,0.0,611.1,41952559.61889269,17684622.59946764,78.06910077914792,0.14269920330471947,848.7805692246039,763.9025123021436
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2027,-102.29719623883206,0.0,0.0,611.1,41952559.61889269,17684622.59946764,64.77551510158061,0.17198471469396964,1022.97196238832,920.6747661494877
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2028,-118.27336674287471,0.0,0.0,611.1,41952559.61889269,17684622.59946764,56.02574579806673,0.19884426927672746,1182.7336674287467,1064.4603006858717
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2029,-139.29912395461352,0.0,0.0,611.1,41952559.61889269,17684622.59946764,47.5692408659858,0.23419332074870594,1392.9912395461338,1253.6921155915202
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2030,-150.83620055061562,0.0,0.0,611.1,41952559.61889269,17684622.59946764,43.93079085543681,0.2535897548614594,1508.3620055061556,1357.52580495554
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2031,-151.31487759850594,0.0,0.0,611.1,41952559.61889269,17684622.59946764,43.7918179955838,0.2543945192004525,1513.1487759850597,1361.833898386554
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2032,-153.16025968361663,0.0,0.0,611.1,41952559.61889269,17684622.59946764,43.26418349972688,0.2574970236979184,1531.6025968361669,1378.4423371525504
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2033,-156.01851174094614,0.0,0.0,611.1,41952559.61889269,17684622.59946764,42.471585620687414,0.2623023916129448,1560.1851174094604,1404.1666056685144
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2034,-156.38601212983446,0.0,0.0,611.1,41952559.61889269,17684622.59946764,42.37177922483573,0.26292024285282894,1563.8601212983415,1407.4741091685073
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2035,-159.62411246021856,0.0,0.0,611.1,41952559.61889269,17684622.59946764,41.51223444684296,0.26836422159268997,1596.2411246021848,1436.6170121419661
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2036,-161.14818025970575,0.0,0.0,611.1,41952559.61889269,17684622.59946764,41.11963020084257,0.2709265241318242,1611.4818025970567,1450.3336223373508
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2037,-164.54206062602094,0.0,0.0,611.1,38282429.29137013,16137521.056136113,36.74842241988239,0.276632404331546,1645.4206062602095,1480.8785456341886
Oahu_Battery_Bulk,Oahu_Battery_Bulk,Battery_Bulk,Oahu,Battery,2038,-167.5961680294896,0.0,0.0,611.1,31402800.23471389,13237491.961451082,29.59514244602422,0.28176704936330194,1675.9616802948954,1508.3655122654056
