RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
Hawaii_Biodiesel,2020,base,3973247.463118738
Hawaii_Biodiesel,2021,base,2709413.628055623
Hawaii_Biodiesel,2022,base,0.0
Hawaii_Biodiesel,2023,base,0.0
Hawaii_Biodiesel,2024,base,0.0
Hawaii_Biodiesel,2025,base,0.0
Hawaii_Biodiesel,2026,base,0.0
Hawaii_Biodiesel,2027,base,0.0
Hawaii_Biodiesel,2028,base,6446.041845394776
Hawaii_Biodiesel,2029,base,0.0
Hawaii_Biodiesel,2030,base,0.0
Hawaii_Biodiesel,2031,base,0.0
Hawaii_Biodiesel,2032,base,0.0
Hawaii_Biodiesel,2033,base,0.0
Hawaii_Biodiesel,2034,base,0.0
Hawaii_Biodiesel,2035,base,0.0
Hawaii_Biodiesel,2036,base,0.0
Hawaii_Biodiesel,2037,base,12203.464614840346
Hawaii_Biodiesel,2038,base,0.0
Hawaii_Biodiesel,2039,base,0.0
Hawaii_Biodiesel,2040,base,0.0
Hawaii_Biodiesel,2041,base,3168.2815843421454
Hawaii_Biodiesel,2042,base,8207.16009720159
Hawaii_Biodiesel,2043,base,6218.513533190935
Hawaii_Biodiesel,2044,base,0.0
Hawaii_Biodiesel,2045,base,4513107.344091117
Hawaii_Biodiesel,2046,base,3127548.688532705
Hawaii_Biodiesel,2047,base,2104006.285798629
Hawaii_Biodiesel,2048,base,1460628.8350369637
Hawaii_Biodiesel,2049,base,1019712.9281298233
Hawaii_Biodiesel,2050,base,900483.0060935362
Hawaii_Coal,2020,base,15579925.36373969
Hawaii_Coal,2021,base,15539889.081746442
Hawaii_Coal,2022,base,15335307.015464969
Hawaii_Coal,2023,base,0.0
Hawaii_Coal,2024,base,0.0
Hawaii_Coal,2025,base,0.0
Hawaii_Coal,2026,base,0.0
Hawaii_Coal,2027,base,0.0
Hawaii_Coal,2028,base,0.0
Hawaii_Coal,2029,base,0.0
Hawaii_Coal,2030,base,0.0
Hawaii_Coal,2031,base,0.0
Hawaii_Coal,2032,base,0.0
Hawaii_Coal,2033,base,0.0
Hawaii_Coal,2034,base,0.0
Hawaii_Coal,2035,base,0.0
Hawaii_Coal,2036,base,0.0
Hawaii_Coal,2037,base,0.0
Hawaii_Coal,2038,base,0.0
Hawaii_Coal,2039,base,0.0
Hawaii_Coal,2040,base,0.0
Hawaii_Coal,2041,base,0.0
Hawaii_Coal,2042,base,0.0
Hawaii_Coal,2043,base,0.0
Hawaii_Coal,2044,base,0.0
Hawaii_Coal,2045,base,0.0
Hawaii_Coal,2046,base,0.0
Hawaii_Coal,2047,base,0.0
Hawaii_Coal,2048,base,0.0
