load_zone,period,AES,Airport_DSG,Battery_Bulk,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,0.0,0.0,0.0,190.7,31.941,266.9559999999996,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,99.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2021,180.0,0.0,0.0,0.0,194.2,44.909,296.4659999999996,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2022,180.0,0.0,139.5,0.0,333.7,54.602,319.30099999999965,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2023,0.0,0.0,439.1,0.0,463.3000000000001,57.736999999999995,338.46899999999965,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2024,0.0,0.0,611.1,0.0,640.3,61.468999999999994,361.55599999999964,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2025,0.0,0.0,611.1,0.0,790.3000000000002,66.011,385.87799999999964,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2026,0.0,0.0,611.1,0.0,949.685789010101,71.335,411.7659999999997,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,163.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2027,0.0,0.0,611.1,0.0,1109.0715780202017,77.44999999999999,439.0059999999997,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,203.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,0.0,0.0,0.0,0.0,0
Oahu,2028,0.0,0.0,611.1,0.0,1268.4573670303027,84.16899999999998,467.39299999999963,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,243.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,0.0,0.0,0.0,0.0,0
Oahu,2029,0.0,0.0,611.1,0.0,1427.8431560404038,91.48499999999999,497.0859999999996,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,283.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2030,0.0,0.0,611.1,0.0,1587.2289450505045,99.398,527.6079999999997,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2031,0.0,0.0,611.1,0.0,1598.313973266847,107.75299999999999,558.9279999999998,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2032,0.0,0.0,611.1,0.0,1609.3990014831893,116.47599999999998,591.1619999999998,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2033,0.0,0.0,611.1,0.0,1620.4840296995317,125.48199999999999,623.5819999999998,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
