PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2031,FuelCostsPerPeriod,132275565.71028505,188593327.8751762,annual
2031,GenVariableOMCostsInTP,53580502.53326021,76392984.80948508,timepoint
2031,Pumped_Hydro_Fixed_Cost_Annual,25033756.1013201,35692150.30010912,annual
2031,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2031,StorageEnergyFixedCost,61203407.970310695,87261425.22575875,annual
2031,TotalGenCapitalCostsSubsidy,-21827168.442299206,-31120323.03563347,annual
2031,TotalGenFixedCosts,525719674.20255196,749550548.9235153,annual
2031,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2032,FuelCostsPerPeriod,131293603.25825343,192809082.74527946,annual
2032,GenVariableOMCostsInTP,52016205.89010788,76387551.99546131,timepoint
2032,Pumped_Hydro_Fixed_Cost_Annual,24304617.574097183,35692150.30010912,annual
2032,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2032,StorageEnergyFixedCost,60221643.20161823,88437513.32102765,annual
2032,TotalGenCapitalCostsSubsidy,-21273590.650333416,-31240985.076182637,annual
2032,TotalGenFixedCosts,510137126.0326157,749153568.0621865,annual
2032,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2033,FuelCostsPerPeriod,127734929.17615543,193210541.37694824,annual
2033,GenVariableOMCostsInTP,50399054.53865776,76233092.03758615,timepoint
2033,Pumped_Hydro_Fixed_Cost_Annual,23596716.09135649,35692150.30010912,annual
2033,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2033,StorageEnergyFixedCost,59246404.18526895,89615502.20525075,annual
2033,TotalGenCapitalCostsSubsidy,-20732841.16550977,-31360282.514003176,annual
2033,TotalGenFixedCosts,500132211.8430178,756494844.7028092,annual
2033,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2034,FuelCostsPerPeriod,125920244.96441123,196179638.74493936,annual
2034,GenVariableOMCostsInTP,48798438.33788488,76026376.91142628,timepoint
2034,Pumped_Hydro_Fixed_Cost_Annual,22909433.09840436,35692150.30010912,annual
2034,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2034,StorageEnergyFixedCost,58278812.21217441,90796490.50476253,annual
2034,TotalGenCapitalCostsSubsidy,-20204787.628213234,-31478400.784094486,annual
2034,TotalGenFixedCosts,490303079.7767251,763876222.5511436,annual
2034,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,FuelCostsPerPeriod,124626516.15547636,199988972.95714214,annual
2035,GenVariableOMCostsInTP,47402305.97346254,76066785.62374632,timepoint
2035,Pumped_Hydro_Fixed_Cost_Annual,22242168.056703262,35692150.30010912,annual
2035,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2035,StorageEnergyFixedCost,56511144.10815955,90683796.8312032,annual
2035,TotalGenCapitalCostsSubsidy,-19689172.903223135,-31595342.538331557,annual
2035,TotalGenFixedCosts,479673597.682297,769735310.8664639,annual
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2036,FuelCostsPerPeriod,123379763.36555722,203927949.74901038,annual
2036,GenVariableOMCostsInTP,46064685.09383313,76137905.68868598,timepoint
2036,Pumped_Hydro_Fixed_Cost_Annual,21594337.91912938,35692150.30010912,annual
2036,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2036,StorageEnergyFixedCost,55419721.544362985,91600355.5357602,annual
2036,TotalGenCapitalCostsSubsidy,-19389030.67410217,-32047113.441734154,annual
2036,TotalGenFixedCosts,467527155.9401365,772751152.7184011,annual
2036,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2037,FuelCostsPerPeriod,118065216.53124352,200998128.00523716,annual
2037,GenVariableOMCostsInTP,44659475.97876624,76029768.40390103,timepoint
