PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,156.6022535120793,1199317890.4506617,1235297427.1641822,7888120.377966969
2021,149.13416678705786,1102521387.036174,1169664939.5066776,7843038.015405222
2022,148.8355945270265,1057978153.2248595,1156081293.4389415,7767505.46206884
2023,156.67974051192752,1072953997.443586,1207619176.847474,7707564.314963505
2024,158.2788070427501,1047834150.551603,1214726964.9006371,7674602.731700823
2025,156.76844846207908,998121688.4614775,1191809494.322831,7602355.614376825
2026,154.47086858740212,948797639.8604871,1166901420.8412118,7554184.368303465
2027,151.24122303139663,895799846.5740108,1134772444.5515745,7503063.13190818
2028,150.31710722603964,860464068.2620404,1122710441.9169276,7468946.566598369
2029,150.06490263562736,823325419.5076004,1106480516.8066354,7373346.447925143
2030,150.32246900979032,793921523.8894064,1098973064.0648842,7310770.447718692
2031,151.62522548588225,775985738.0754279,1106370114.0984097,7296741.7562153805
2032,151.00545705617176,756699605.3063574,1111238881.347879,7358931.942006009
2033,151.79982529660444,740376474.6689448,1119885848.1086974,7377385.618992195
2034,152.43033769279336,726005220.7613845,1131092478.228283,7420389.506109184
2035,152.81822158807745,710766559.0728743,1140571674.0403311,7463584.264936349
2036,152.4406173230735,694596633.1889153,1148062400.5502295,7531210.649174263
2037,151.7285719679607,673460718.9890498,1146521793.4533556,7556400.080635157
2038,150.2366966075096,651869781.6514511,1143057607.9438686,7608378.204228518
2039,149.63627150189666,634284303.1962495,1145588005.9772081,7655817.63351199
2040,149.51713424901106,620638963.0140246,1154571293.886402,7721999.8877422195
2041,148.93639962198148,601800412.2317717,1153111821.3311222,7742310.303309727
2042,144.1309771648374,568838916.1920372,1122652812.0004828,7789115.387156123
2043,142.27358028146494,548111941.2832099,1114198723.9210806,7831381.776692631
2044,142.52324980447287,537292522.0428171,1124971224.4215024,7893247.073476406
2045,139.68215769603853,512359734.70340246,1104950529.702438,7910462.924741712
2046,141.3383297788856,503334602.0068249,1118051617.560792,7910462.924741712
2047,143.48049205178341,496080852.920138,1134997112.7993307,7910462.924741712
2048,147.94226779434163,496609078.5106698,1170291824.3893495,7910462.924741712
2049,154.32156456870013,502934902.796282,1220755015.0088367,7910462.924741712
2050,151.82665688080382,480392217.18963706,1201019140.24308,7910462.924741712
